"","profile_identifier","latitude","longitude","clay.30.60.cm","silt.30.60.cm","sand.30.60.cm","trans_1","trans_2"
"1","65306",-0.56999999,-72.47000122,10.1035241,3.778301713,86.11817418,2.14283618760834,-0.983609657381747
"2","65307",-0.57999998,-72.37999725,46.41780329,36.98536986,16.59682686,-1.02847155315786,-0.227160651976032
"3","65308",-1.27999997,-70.83000183,35.27228911,20.28336867,44.44434222,0.231140025110545,-0.553296371691829
"4","66765",1.26277778,-77.28972222,37.45449721,33.6031631,28.94233969,-0.257821224298758,-0.108506586048571
"5","66766",1.11611111,-77.4275,43.44583223,18.46055779,38.09360998,-0.131468375045785,-0.855878481290774
"6","66767",0.97,-77.74444444,26.74830942,44.71873386,28.53295672,0.0645885232345357,0.513921243741705
"7","66768",0.94083333,-77.83527778,17.64921587,38.6171172,43.73366692,0.907426859793172,0.783004273189231
"8","66769",1.20055556,-77.32527778,32.17187364,30.12453599,37.70359037,0.15866274380272,-0.0657525925245512
"9","66770",1.37555556,-77.2875,28.71341382,36.59814888,34.6884373,0.189042018337706,0.242633268013938
"10","66771",1.11722222,-77.38194444,35.05217906,24.55653083,40.39129011,0.1417763887964,-0.355859941139263
"11","66772",1.35361111,-77.27138889,31.99828938,23.77006829,44.23164233,0.323757978279915,-0.297255290178786
"12","67976",2.35,-76.4,30.07691507,27.26457319,42.65851174,0.349468889580922,-0.0981697621888005
"13","67977",2,-76.66666667,13.42368722,18.1528759,68.42343688,1.62869456098994,0.301808150555529
"14","67978",2.28333333,-76.45,16.46891634,32.28606839,51.24501527,1.13514360423159,0.673161071956501
"15","67979",2.5,-76.95,15.95512619,41.902219,42.1426548,0.97128023709872,0.965558616134671
"16","67980",1.7,-76.78333333,30.5269319,42.3401838,27.13288429,-0.117862872406546,0.327127299644564
"17","67981",1.8,-76.76666667,38.7324187,25.26434332,36.00323798,-0.0730680635733597,-0.427282895155674
"18","67982",2.51666667,-76.45,62.04957021,21.97671671,15.97371309,-1.35698914584358,-1.03795002354915
"19","67984",1.48333333,-77.0975,27.84164754,21.04375719,51.11459527,0.607537065555125,-0.279929066998198
"20","67985",2.48333333,-76.46666667,53.93840963,18.28379355,27.77779682,-0.66360580717477,-1.08182776410774
