"","profile_identifier","latitude","longitude","clay.15.30.cm","silt.15.30.cm","sand.15.30.cm","trans_1","trans_2"
"1","65306",-0.56999999,-72.47000122,7.670164692,4.840281385,87.48955392,2.43418131508723,-0.460365230942784
"2","65307",-0.57999998,-72.37999725,40.53115551,41.63468355,17.83416094,-0.820955178218906,0.026862608856047
"3","65308",-1.27999997,-70.83000183,32.81186608,22.38766562,44.8004683,0.311428371792753,-0.382280055460806
"4","66765",1.26277778,-77.28972222,36.35145479,34.56626678,29.08227843,-0.22310522490309,-0.0503559669745374
"5","66766",1.11611111,-77.4275,22.95121807,33.70076661,43.34801532,0.635889909435866,0.384149575127136
"6","66767",0.97,-77.74444444,29.92907529,49.39920277,20.67172194,-0.370063749165724,0.501103860173986
"7","66768",0.94083333,-77.83527778,21.21424501,41.1490141,37.63674089,0.573307834158989,0.662527077683276
"8","66769",1.20055556,-77.32527778,29.71901888,31.73442109,38.54656003,0.260079654854317,0.0656147233963583
"9","66770",1.37555556,-77.2875,34.3320006,39.16799171,26.50000768,-0.258932858528925,0.131781993905089
"10","66771",1.11722222,-77.38194444,27.96841526,30.02308582,42.00849892,0.406796106004438,0.0708907660151746
"11","66772",1.35361111,-77.27138889,25.09482674,29.84730217,45.05787109,0.585285968852789,0.173432737270756
"12","67976",2.35,-76.4,23.09591282,28.79289193,48.11119525,0.733859231836095,0.220472881019774
"13","67977",2,-76.66666667,23.1364772,20.83637831,56.02714449,0.884425824702504,-0.10471005535402
"14","67978",2.28333333,-76.45,16.89299561,28.69822471,54.40877968,1.16962645694661,0.529936188988335
"15","67979",2.5,-76.95,24.47814396,43.25959944,32.26225659,0.276117384201367,0.56943852497775
"16","67980",1.7,-76.78333333,33.30882696,38.81466282,27.87651021,-0.178038029484469,0.152975647237645
"17","67981",1.8,-76.76666667,33.9809593,27.33309672,38.68594398,0.129675982251962,-0.217702045184518
"18","67982",2.51666667,-76.45,60.79125717,22.46201769,16.74672514,-1.28924325696049,-0.995620201993509
"19","67984",1.48333333,-77.0975,18.57063519,22.17723312,59.25213169,1.16022017730909,0.17748464757288
"20","67985",2.48333333,-76.46666667,52.59018634,19.11416114,28.29565252,-0.619821359207317,-1.01210004957589
"21","68002",1.18333333,-76.98333333,35,35,30,-0.154150679827258,0
"22","68009",5.58333333,-73.86666667,50,25,25,-0.693147180559945,-0.693147180559945
