"","profile_identifier","latitude","longitude","clay.5.15.cm","silt.5.15.cm","sand.5.15.cm","trans_1","trans_2"
"1785","IGAC-CUN-AC-49",4.524642922,-73.13156206,20.64347815,24.23229002,55.12423183,0.982189957177546,0.160286600689077
"1786","IGAC-CUN-AC-5",5.31660646,-74.37076147,34.11852357,63.80307814,2.078398293,-2.79824290437006,0.625960985896301
"1787","IGAC-CUN-AC-50",4.735479989,-73.3462891,28.05605991,37.63006058,34.31387952,0.201345274844021,0.293598566282069
"1788","IGAC-CUN-AC-51",4.748813224,-73.32906622,24.1148168,20.38207841,55.5031048,0.833612504969309,-0.168170451139724
"1789","IGAC-CUN-AC-52",4.756313484,-73.33878868,43.08484732,39.539582,17.37557068,-0.90810612918919,-0.0858691188792499
"1790","IGAC-CUN-AC-53",5.064375402,-73.71740909,42.51151896,42.78851092,14.69997012,-1.06192961243057,0.00649455654350329
"1791","IGAC-CUN-AC-54",5.046319714,-73.72657616,32.18703866,28.6150661,39.19789524,0.197059207069727,-0.117630479592352
"1792","IGAC-CUN-AC-55",5.202709218,-73.64101629,33.7103214,50.08344117,16.20623743,-0.732407868785499,0.3958863744263
"1793","IGAC-CUN-AC-56",4.475483409,-73.92242148,28.98483843,67.77564877,3.239512797,-2.19134993331257,0.849430087234009
"1794","IGAC-CUN-AC-57",4.515760101,-73.77102727,39.66,58.3,2.04,-2.96739331523552,0.385258970264797
"1795","IGAC-CUN-AC-58",4.4838229,-74.57410956,34.33577075,30.51040833,35.15382091,0.023545625576021,-0.118119807640263
"1796","IGAC-CUN-AC-59",4.475767321,-74.57827649,47.7821529,33.83099932,18.38684778,-0.955016585022196,-0.345274677666129
"1797","IGAC-CUN-AC-6",5.446607459,-74.33409231,57.00544568,41.16497863,1.829575683,-3.43906272876182,-0.325558939896751
"1798","IGAC-CUN-AC-60",4.581312216,-73.36156889,32.913341,27.59260884,39.49405016,0.18227195460309,-0.176330135890289
"1799","IGAC-CUN-AC-61",4.567145515,-73.36906921,28.37845735,34.38892697,37.23261568,0.271554829423065,0.192104308841542
"1800","IGAC-CUN-AC-62",4.570756778,-73.37795842,50.50381503,45.74896759,3.747217384,-2.60103534496867,-0.0988796534483291
