"","X","profile_identifier","latitude","longitude","clay.0.5.cm","silt.0.5.cm","sand.0.5.cm","trans_1","trans_2"
"1",1,"65306",-0.56999999,-72.47000122,2.974124493,6.320971023,90.70490448,3.41766172168942,0.753923131617519
"2",2,"65307",-0.57999998,-72.37999725,16.32444361,38.3240777,45.35147869,1.02177918970478,0.853414766737741
"4",4,"66765",1.26277778,-77.28972222,35.98089698,34.88981334,29.12928967,-0.211243972325341,-0.0307932529453661
"5",5,"66766",1.11611111,-77.4275,22.28623386,31.40194423,46.31182191,0.731428089176462,0.342900636997004
"7",7,"66768",0.94083333,-77.83527778,22.47312992,42.02460789,35.50226219,0.457276048336317,0.62593497907582
"8",8,"66769",1.20055556,-77.32527778,26.92932674,32.16368844,40.90698482,0.418084920323304,0.177622221893184
"9",9,"66770",1.37555556,-77.2875,36.49605311,40.26299844,23.24094845,-0.451288378516434,0.0982287735695841
"10",10,"66771",1.11722222,-77.38194444,25.45101792,31.86309425,42.68588784,0.517112631005277,0.224692680926213
"11",11,"66772",1.35361111,-77.27138889,23.29869675,32.73957875,43.9617245,0.634921932079469,0.34018727980516
"14",14,"67978",2.28333333,-76.45,9.715666437,25.92382558,64.36050798,1.89076053564218,0.981422773173048
"15",15,"67979",2.5,-76.95,26.42176829,44.25365115,29.32458056,0.104237864451185,0.515749653082671
"16",16,"67980",1.7,-76.78333333,35.19811149,36.58782556,28.21406294,-0.221171890855297,0.0387231197868388
"17",17,"67981",1.8,-76.76666667,31.82984997,28.79552423,39.3746258,0.212717065803533,-0.100184561420878
"18",18,"67982",2.51666667,-76.45,59.62634703,23.26442215,17.10923082,-1.24847940875491,-0.941172293402373
"19",19,"67984",1.48333333,-77.0975,15.57027358,22.54926092,61.8804655,1.37984099163965,0.37033873358392
"20",20,"67985",2.48333333,-76.46666667,50.66967821,18.96800622,30.36231558,-0.512125448397089,-0.982573992083282
"21",21,"68002",1.18333333,-76.98333333,35,35,30,-0.154150679827258,0
"22",22,"68009",5.58333333,-73.86666667,50,25,25,-0.693147180559945,-0.693147180559945
"23",23,"68012",3.0833333,-76.5,70.95123555,22.15798654,6.890777907,-2.33180883540474,-1.16379482018799
"24",24,"68017",2.4,-72.71666667,21.74612758,31.73661255,46.51725987,0.760387724338625,0.378035285065578
"26",26,"69516",2.5,-72.63333333,19.06464388,38.61712018,42.31823595,0.797382589200236,0.705860192240711
"27",27,"69518",-4.03333333,-70.01666667,40.12679157,51.47877254,8.394435886,-1.56447513832776,0.249125308836286
"28",28,"69575",2.38333333,-72.63333333,16.49793959,47.1759114,36.32614901,0.789302340563552,1.05064791084696
"29",29,"69576",-0.4,-72.15,46.66680786,15.58531956,37.74787258,-0.212104040897732,-1.09670374216787
"30",30,"69586",1.16666667,-77.36666667,8.873901047,36.17486794,54.95123101,1.82333158096018,1.40525011991916
"31",31,"69660",2.41666667,-72.66666667,11.71424892,14.1468436,74.13890748,1.84513450448057,0.188685574839866
"32",32,"69668",1.16666667,-77.18333333,19.8482932,59.47703943,20.67466737,0.0407911337179999,1.09747232759372
"33",33,"69695",4.15,-73.38333333,44.23475082,13.47673372,42.28851546,-0.0449951507623211,-1.18854592733809
"34",34,"69711",-4.13333333,-69.95,23.26623924,33.79124793,42.94251283,0.612858960142779,0.373198481818922
"36",36,"69778",-0.46666667,-72.21666667,36.01631753,13.13777405,50.84590842,0.344827555055468,-1.0084805043662
"37",37,"69856",1.11666667,-77.36666667,21.58702513,43.1374484,35.27552647,0.491096976583116,0.692299046469764
"39",39,"69933",-0.45,-72.21666667,1.341029342,9.583786079,89.07518458,4.19604329892989,1.9666352357392
"41",41,"70545",5.3,-73.84972222,16.37179487,38.6025641,45.02564103,1.01167209892891,0.857758672492403
"42",42,"70556",5.8,-71.84972222,13.2403457,7.76394304,78.99571126,1.78612490270538,-0.53377833158457
"44",44,"70559",5.8,-71.4,15.6665089,32.22428401,52.1092071,1.20181641013742,0.721195087336014
"45",45,"70570",1,-75.30972222,32.30943932,31.83678409,35.8537766,0.104089479443825,-0.014737072867773
"46",46,"70577",4.4,-70.4,7.470312037,56.18861726,36.3410707,1.58201175564148,2.01777742623431
"47",47,"70578",4.9,-68.5,11.44441779,13.31148372,75.24409849,1.88323539330992,0.151125018412308
"48",48,"70580",5.9,-71.5,22.5834898,28.0601861,49.35632409,0.781846805908654,0.217132607388017
"49",49,"70581",3.95,-77.19972222,4.240004328,6.400007213,89.35998846,3.04810873562232,0.411734827398179
"50",50,"70582",4.3,-76.25,10.22111246,32.23365079,57.54523675,1.7281159344598,1.14855553232628
"51",51,"70583",7.3,-76.4,35.49948339,18.23147027,46.26904634,0.264955047962473,-0.666368907418152
"52",52,"70584",8.5,-77.26,18.24027832,18.08925762,63.67046407,1.25008853937666,-0.00831398287920531
"56",56,"70588",1.1,-69.9,25.99555987,8.621178327,65.3832618,0.922340540719052,-1.10370397700595
"57",57,"70589",1.5,-72.69972222,7.076646081,12.05256983,80.87078409,2.43605254465194,0.532477823006342
