"","profile_identifier","latitude","longitude","clay.0.5.cm","silt.0.5.cm","sand.0.5.cm","trans_1","trans_2"
"1","65306",-0.56999999,-72.47000122,2.974124493,6.320971023,90.70490448,3.41766172168942,0.753923131617519
"2","65307",-0.57999998,-72.37999725,16.32444361,38.3240777,45.35147869,1.02177918970478,0.853414766737741
"3","65308",-1.27999997,-70.83000183,13.12152691,20.44378849,66.4346846,1.6219651214548,0.443424937950136
"4","66765",1.26277778,-77.28972222,35.98089698,34.88981334,29.12928967,-0.211243972325341,-0.0307932529453661
"5","66766",1.11611111,-77.4275,22.28623386,31.40194423,46.31182191,0.731428089176462,0.342900636997004
"6","66767",0.97,-77.74444444,19.03869647,28.14367573,52.8176278,1.02037143053245,0.390849101802996
"7","66768",0.94083333,-77.83527778,22.47312992,42.02460789,35.50226219,0.457276048336317,0.62593497907582
"8","66769",1.20055556,-77.32527778,26.92932674,32.16368844,40.90698482,0.418084920323304,0.177622221893184
"9","66770",1.37555556,-77.2875,36.49605311,40.26299844,23.24094845,-0.451288378516434,0.0982287735695841
"10","66771",1.11722222,-77.38194444,25.45101792,31.86309425,42.68588784,0.517112631005277,0.224692680926213
"11","66772",1.35361111,-77.27138889,23.29869675,32.73957875,43.9617245,0.634921932079469,0.34018727980516
"12","67976",2.35,-76.4,19.75502373,29.12184883,51.12312744,0.950829161524198,0.388080886276772
"13","67977",2,-76.66666667,20.46964144,18.72459032,60.80576824,1.08874177368607,-0.0891052327621282
"14","67978",2.28333333,-76.45,9.715666437,25.92382558,64.36050798,1.89076053564218,0.981422773173048
"15","67979",2.5,-76.95,26.42176829,44.25365115,29.32458056,0.104237864451185,0.515749653082671
"16","67980",1.7,-76.78333333,35.19811149,36.58782556,28.21406294,-0.221171890855297,0.0387231197868388
"17","67981",1.8,-76.76666667,31.82984997,28.79552423,39.3746258,0.212717065803533,-0.100184561420878
"18","67982",2.51666667,-76.45,59.62634703,23.26442215,17.10923082,-1.24847940875491,-0.941172293402373
"19","67984",1.48333333,-77.0975,15.57027358,22.54926092,61.8804655,1.37984099163965,0.37033873358392
"20","67985",2.48333333,-76.46666667,50.66967821,18.96800622,30.36231558,-0.512125448397089,-0.982573992083282
"21","68002",1.18333333,-76.98333333,35,35,30,-0.154150679827258,0
"22","68009",5.58333333,-73.86666667,50,25,25,-0.693147180559945,-0.693147180559945
"23","68012",3.0833333,-76.5,70.95123555,22.15798654,6.890777907,-2.33180883540474,-1.16379482018799
"24","68017",2.4,-72.71666667,21.74612758,31.73661255,46.51725987,0.760387724338625,0.378035285065578
"25","68018",2.33333333,-72.7,7.933854566,23.98503111,68.08111432,2.14956086048605,1.10629094056615
"26","69516",2.5,-72.63333333,19.06464388,38.61712018,42.31823595,0.797382589200236,0.705860192240711
"27","69518",-4.03333333,-70.01666667,40.12679157,51.47877254,8.394435886,-1.56447513832776,0.249125308836286
"28","69575",2.38333333,-72.63333333,16.49793959,47.1759114,36.32614901,0.789302340563552,1.05064791084696
"29","69576",-0.4,-72.15,46.66680786,15.58531956,37.74787258,-0.212104040897732,-1.09670374216787
"30","69586",1.16666667,-77.36666667,8.873901047,36.17486794,54.95123101,1.82333158096018,1.40525011991916
"31","69660",2.41666667,-72.66666667,11.71424892,14.1468436,74.13890748,1.84513450448057,0.188685574839866
"32","69668",1.16666667,-77.18333333,19.8482932,59.47703943,20.67466737,0.0407911337179999,1.09747232759372
"33","69695",4.15,-73.38333333,44.23475082,13.47673372,42.28851546,-0.0449951507623211,-1.18854592733809
"34","69711",-4.13333333,-69.95,23.26623924,33.79124793,42.94251283,0.612858960142779,0.373198481818922
"35","69746",4.16666667,-72.91666667,54.1535588,27.99479321,17.85164799,-1.10972786409866,-0.659805156335045
"36","69778",-0.46666667,-72.21666667,36.01631753,13.13777405,50.84590842,0.344827555055468,-1.0084805043662
"37","69856",1.11666667,-77.36666667,21.58702513,43.1374484,35.27552647,0.491096976583116,0.692299046469764
"38","69923",-0.46666667,-72.23333333,21.95949273,21.98363393,56.05687334,0.937167254076484,0.00109874759779767
"39","69933",-0.45,-72.21666667,1.341029342,9.583786079,89.07518458,4.19604329892989,1.9666352357392
