"","X","profile_identifier","latitude","longitude","clay.60.100.cm","silt.60.100.cm","sand.60.100.cm","trans_1","trans_2"
"1",1,"65306",-0.56999999,-72.47000122,7.545750751,4.066829847,88.3874194,2.46074505465194,-0.618120801806813
"2",2,"65307",-0.57999998,-72.37999725,52.78343533,23.87911264,23.33745204,-0.816137962875553,-0.793193287974681
"3",3,"65308",-1.27999997,-70.83000183,36.98902501,20.41387667,42.59709832,0.141164889109374,-0.594406348771149
"4",4,"66765",1.26277778,-77.28972222,37.87523578,34.70714094,27.41762328,-0.323111496984274,-0.087352032465784
"5",5,"66766",1.11611111,-77.4275,40.4976125,15.48433819,44.01804932,0.0833567398650238,-0.961413948025179
"6",6,"66767",0.97,-77.74444444,24.54517073,35.14968397,40.3051453,0.495964012459549,0.359100504038794
"10",10,"66771",1.11722222,-77.38194444,43.50687046,14.76781674,41.7253128,-0.041810901007959,-1.08046859881214
"13",13,"67977",2,-76.66666667,9.995422864,10.05807971,79.94649743,2.07923035420316,0.00624898814196714
"15",15,"67979",2.5,-76.95,12.92344862,19.20852694,67.86802445,1.65852161864878,0.396310908113763
"16",16,"67980",1.7,-76.78333333,32.83465619,21.36198976,45.80335405,0.332872772222447,-0.429871385437549
"17",17,"67981",1.8,-76.76666667,41.88831499,29.04900361,29.0626814,-0.365551984465434,-0.366022725943683
"18",18,"67982",2.51666667,-76.45,50.33601583,17.84110399,31.82288018,-0.458535307778457,-1.03721583327774
"20",20,"67985",2.48333333,-76.46666667,75.86122718,13.67630049,10.46247234,-1.98111092095023,-1.7132412694312
"23",25,"68018",2.33333333,-72.7,33.39748725,25.3284813,41.27403145,0.211752858635895,-0.276551159473772
"24",26,"69516",2.5,-72.63333333,36.85164727,56.69346118,6.454891551,-1.74206209628864,0.430758561307912
"26",28,"69575",2.38333333,-72.63333333,33.32777561,48.21209611,18.46012828,-0.590777973589055,0.369218794492502
"27",29,"69576",-0.4,-72.15,64.88560587,15.75248855,19.36190558,-1.20931830401924,-1.41562745377783
"28",30,"69586",1.16666667,-77.36666667,15.97823679,22.45422139,61.56754181,1.34890721729802,0.340251035998975
"29",31,"69660",2.41666667,-72.66666667,25.15820363,18.31054141,56.53125496,0.809609638905091,-0.317707104092363
"30",32,"69668",1.16666667,-77.18333333,31.80022898,38.50582375,29.69394726,-0.068530261309298,0.191336005698784
"31",33,"69695",4.15,-73.38333333,47.74659111,15.01361193,37.23979697,-0.248529673551234,-1.15695042240434
"32",34,"69711",-4.13333333,-69.95,35.29939234,33.77321759,30.92739007,-0.132223548320087,-0.0441976402300586
"33",35,"69746",4.16666667,-72.91666667,59.94527173,25.12521412,14.92951415,-1.39009193897834,-0.869560119605935
"36",38,"69923",-0.46666667,-72.23333333,50.17339391,18.63924594,31.18736015,-0.475471995070912,-0.990215529827754
"37",39,"69933",-0.45,-72.21666667,0.793184937,10.69569813,88.51111693,4.71482703183645,2.60154048938453
"38",40,"70535",2.4,-76.65,21.91033386,21.55225779,56.53740835,0.947944122472426,-0.0164778103828766
"40",43,"70558",11.6,-72.25,32.45872368,24.36303321,43.17824311,0.285367495136839,-0.28690229043514
"43",46,"70577",4.4,-70.4,26.18685944,46.43769359,27.37544696,0.0443887784511787,0.572853754440227
"44",47,"70578",4.9,-68.5,20.92840018,20.57409485,58.49750497,1.02787700640007,-0.0170743439569075
"45",48,"70580",5.9,-71.5,42.6701525,31.70440403,25.62544347,-0.509913927677894,-0.297044071508311
"47",50,"70582",4.3,-76.25,12.03931276,31.87220472,56.08848252,1.53875313026003,0.973556946056985
"48",51,"70583",7.3,-76.4,55.28555466,12.44294981,32.27149553,-0.538327307410856,-1.4913574744913
"49",52,"70584",8.5,-77.26,32.24968652,26.85741408,40.8928994,0.237448116290586,-0.182966410437413
"50",53,"70585",3.4,-76.8,34.80915949,22.48012476,42.71071575,0.204569287199326,-0.43724898105188
"51",55,"70587",0.7,-70.9,35.606231,7.974080072,56.41968892,0.460297541278764,-1.49632436008818
"53",57,"70589",1.5,-72.69972222,16.70455039,10.7743695,72.52108011,1.46819611898571,-0.438511041553783
